doc_id,file_name,_split,invoice_number,invoice_date,due_date,issuer_name,recipient_name,total_amount,payment_terms,document_confidence,invoice_like_score,ocr_quality_score
doc_0268,rvl_train_02280.png,train,,,,NUMBER ON ALL PAYMENTS AND.,,,NET 30,high,2,1.0
doc_0366,rvl_val_17596.png,train,,1982-03-16,,MANAGEMENT CORP.,,,,low,0,1.0
doc_0286,rvl_train_21961.png,train,,,,a LO BURNETT USA:,,,,low,0,1.0
doc_0277,rvl_train_14858.png,train,,1997-08-15,,PLEASE READ INSTRUCTIONS,,,,high,2,1.0
doc_0318,rvl_train_06968.png,train,,,,eek von Peta Buz,,,,low,0,0.85
doc_0283,rvl_train_12131.png,train,,,,"JELIVERED, INSIDE TO RECEI",,,,low,0,1.0
doc_0381,rvl_val_05855.png,train,,1986-02-04,,"LABORATORIES AMERICA, INC",,,Net 30 days,medium,1,1.0
doc_0385,rvl_train_20490.png,train,,,,MZOSHSSTO OLO WBEOGLITZC wt ISEOOM,,,,low,0,1.0
doc_0273,rvl_train_07629.png,train,,,,acaron SUMMARY,,,,low,0,1.0
doc_0310,rvl_train_01052.png,train,,,,"DANIEL J. EDELMAN, INC.",,46400000.00,,low,0,1.0
doc_0386,rvl_val_20938.png,train,,,,,,,,low,0,0.6
doc_0252,rvl_train_19783.png,train,,,,Ay JPEG C,,,,low,-1,1.0
doc_0388,rvl_train_19955.png,train,,,,"Zunbs, Harvey J-",,,,low,0,1.0
doc_0261,rvl_test_18090.png,train,,,,BRITISH-AMERICAN TOBACCO COMPANY LTD,,,,high,2,1.0
doc_0279,rvl_train_20831.png,train,,,,INBIFO Institut fur biologische Forschun,,12.35,,low,0,1.0
doc_0206,rvl_train_08025.png,train,,,,228 : ONINSIZU3H . .,,,,low,0,1.0
doc_0361,rvl_val_00377.png,train,,,,Research and Developnent,,,,low,0,1.0
doc_0233,rvl_train_13747.png,train,,,,QcoMPANIES FOR ACCOUNTING USE ONLY,,,,low,-1,1.0
doc_0259,rvl_train_12404.png,train,,,,"1 = aNnOWY Lan 0g"" = INMUMY ssuND",,,,low,0,1.0
doc_0307,rvl_train_07197.png,train,,1989-05-28,,"LABORATORIES AMERICA, INC’",,6800.00,DUE UPON RECEIPT,high,4,1.0
doc_0400,rvl_train_03666.png,train,,1992-03-26,1992-03-26,Account Number,,1557.52,,high,2,1.0
doc_0327,rvl_train_04576.png,train,,,,TO COVER COSTE ABBOCIATED WI,,2286.08,,low,0,1.0
doc_0276,rvl_train_03310.png,train,,,,Pp. LORILLARD COMPANY,,,,low,0,1.0
doc_0289,rvl_train_21235.png,train,,,,PHILIP MORRIS,,,,low,0,1.0
doc_0311,rvl_train_10337.png,train,,,,EXPRESS. MarricHy Were,SCALE,,,low,0,1.0
doc_0325,rvl_train_08680.png,train,,,,eerour®,,,,low,0,0.75
doc_0290,rvl_train_02340.png,train,,,,OPEEGOOOOO TON INNGIOY BGA,,,,low,0,1.0
doc_0237,rvl_train_24865.png,train,,1971-11-19,,"yo__The Tobacco Institute, Inc.",,,,low,0,1.0
doc_0248,rvl_train_12450.png,train,,,,HENNOODSIG HSY)],,,,low,0,1.0
doc_0399,rvl_train_19627.png,train,,,,,,,,low,0,1.0
doc_0262,rvl_train_09607.png,train,,,,"LEO BURNETT U.S.A,",,,,low,0,1.0
doc_0383,rvl_train_16636.png,train,,,,Piva Hundred and no/100 US Dollars,,,,low,0,1.0
doc_0204,rvl_val_24300.png,train,,,,CONTRACT RESEARCH CENTER ‘sveas 2,,,,low,0,1.0
doc_0304,rvl_train_18251.png,train,5959,1968-05-05,,,,,,medium,1,1.0
doc_0251,rvl_val_11764.png,train,,,,"CRC CONTRACT RESEARCH CENTER avaassp.at,",,,,low,0,1.0
doc_0219,rvl_train_00977.png,train,,,,"oar,",,,,low,0,1.0
doc_0293,rvl_train_17503.png,train,,,,Moore Sign Corp. wen,,,DUE UPON RECEIPT,medium,1,1.0
doc_0270,rvl_train_23088.png,train,,,,,,,,low,0,1.0
doc_0362,rvl_test_23617.png,train,o3e06,,,"TRIANGLE PUBLICATIONS, INC.",,,,medium,1,1.0
doc_0377,rvl_train_14868.png,train,,,,oorizott = ANMOMY 45H gotzOeT = ANnOMY sso¥D,,,,low,0,1.0
doc_0379,rvl_train_24968.png,train,,,,Lo EST,,,,low,0,0.85
doc_0373,rvl_train_05183.png,train,,,,Miller Brewing Company,,86.00,,high,3,1.0
doc_0393,rvl_train_05294.png,train,,1999-12-20,,Lorillard Tobacco Co.,,46300.00,,medium,1,1.0
doc_0344,rvl_train_03593.png,train,,,,,,,,low,0,0.15
doc_0309,rvl_train_07506.png,train,,,,"THE GREAT ATLANTIC & PACIFIC TEA COMPANY, ING: .",,,,medium,1,1.0
doc_0225,rvl_train_23463.png,train,,,,,,,,low,0,0.65
doc_0217,rvl_val_01042.png,train,1567-1,1984-02-14,,"LABORATORIES, INC.",,,,high,2,1.0
doc_0246,rvl_train_11030.png,train,,1997-02-20,,Tobacco Company,,,,low,0,1.0
doc_0313,rvl_test_02169.png,train,,,,oe aaah a I,,,,low,0,0.65
doc_0314,rvl_train_08774.png,train,,,,Research Center,,,Net 20 Days,medium,1,1.0
doc_0368,rvl_train_24605.png,train,,,,ORDERBEVESTIGING,,,,low,0,1.0
doc_0392,rvl_train_17675.png,train,,,,Consultant services~-Synthetic Aza-compounés--,,,,low,0,1.0
doc_0340,rvl_train_16697.png,train,,,,wee OG ee GS AU OW,,,,low,0,1.0
doc_0201,rvl_train_03649.png,train,,,,FE. wosesoepmronnoeene — DEBIT EMD ove sanme,,,,low,0,1.0
doc_0209,rvl_train_03359.png,train,,,,ROUTING LIST,,,,low,0,1.0
doc_0215,rvl_train_19350.png,train,,,,"PHILIP MORRIS INCORPORATED NEW YoRK,xY",,,,low,-1,1.0
doc_0335,rvl_val_19122.png,train,,,,on,,,,medium,1,1.0
doc_0378,rvl_train_23583.png,train,,,,CANDY COMPANY wioesse,,,,low,0,1.0
doc_0306,rvl_train_10627.png,train,,,,"toe HILLER TRAVEL SERVICE, INC.",,,,medium,1,1.0
doc_0285,rvl_train_06866.png,train,,,,ESTIMATED,,,,low,0,0.75
doc_0275,rvl_train_09483.png,train,,,,Payee:__Tairtron Corporation EXPLANATIONOF PAYMENT,,,,high,2,1.0
doc_0369,rvl_train_08744.png,train,,,,CRC contaract RESEARCH CENT fo suhag G2a4,,,,low,0,1.0
doc_0242,rvl_val_05095.png,train,,,,Two Hundred and no/i00 US Dollars,,,,low,0,0.75
doc_0281,rvl_train_11955.png,train,,1997-08-28,,CUSTOMER NO: PO02AD,,137500.00,,high,2,1.0
doc_0337,rvl_train_14039.png,train,,,,"Timelnc Magazines No, «3asias0",,,,high,2,1.0
doc_0256,rvl_train_15055.png,train,807653,1986-01-27,,"If ROWLAND COMPANY, INC,",,,,high,2,1.0
doc_0336,rvl_train_13088.png,train,,1991-08-08,,"HBI Healthy Buildings Intemational. inc. Faia, VA nao",,,,high,2,1.0
doc_0231,rvl_train_07224.png,train,,,,TOBACCO CORPORATION,,,,low,0,1.0
doc_0332,rvl_train_17662.png,train,,,,LORILLARD RESEARCH CENTER 3i7tore,,,NET 30 DAYS,high,3,1.0
doc_0253,rvl_val_01424.png,train,,,,PLEASE REMIT TO: i,,,,high,3,1.0
doc_0353,rvl_val_12505.png,train,,,,JON C. WINGER,,,,low,0,0.85
doc_0348,rvl_train_05243.png,train,30712,,,"SaRLz0a Jo-wnrer PopreR,",,,,high,2,1.0
doc_0229,rvl_train_17857.png,train,,,,Consultant Scientist PORTISHEAD,,47.00,,low,0,1.0
doc_0299,rvl_val_15148.png,train,,1981-09-25,,"RESEARCH LABORATORIES, INC.",,,,medium,1,1.0
doc_0245,rvl_train_03350.png,train,,,,WIT RESEARCH INSTITUTE,,,,high,2,1.0
doc_0354,rvl_train_19544.png,train,,,,OO ETE,Dr. P.,2.70,,medium,1,1.0
doc_0350,rvl_train_22299.png,train,,,,ozreonte s ANNOY 13N —GzteoH4e = anny ssu¥a,,,,low,0,1.0
doc_0274,rvl_train_02615.png,train,,,,CHURCH STREET STATION,,,,low,0,1.0
doc_0214,rvl_train_02849.png,train,,,,A REGISTER,,,,low,0,1.0
doc_0352,rvl_train_02082.png,train,,,,VENDOR NO PHILIP MORRIS INCORPORATED cree no |,,254000.00,,low,0,1.0
doc_0333,rvl_test_24479.png,train,,1993-05-03,1993-05-03,T LortiLarp ToRacco co. 7,,1.25,,high,2,1.0
doc_0247,rvl_train_03040.png,train,,1997-08-01,,RJ Reynolds Tobacco Co,,69.19,,low,0,1.0
doc_0226,rvl_val_06516.png,train,121-,,,CENTURY PUBLISHING COMPANY,,,NET 30 DAYS,medium,1,1.0
doc_0282,rvl_train_05330.png,train,,1980-01-01,,,,,,medium,1,1.0
doc_0305,rvl_train_22434.png,train,,1994-04-25,,"Ehrhart-Babic Associates, Inc.",,16470.00,,low,0,1.0
doc_0374,rvl_train_03656.png,train,,,,"SHOOSMITH BROS.,INC.",,53400.00,,high,2,1.0
doc_0300,rvl_test_20972.png,train,4531,,,MIs. Mary Pottorft :,,,,high,2,1.0
doc_0284,rvl_train_11642.png,train,,,,PHILIP MORRIS,,,,low,0,1.0
doc_0330,rvl_train_18395.png,train,,,,INOWY LN,,,,low,0,1.0
doc_0359,rvl_train_15338.png,train,,,,MANAGEMENT CORPORATION,,,,low,-1,1.0
doc_0211,rvl_train_24271.png,train,,,,BROWN & WILLIAMSON TOBACCO CORPORATION,,,,low,0,1.0
doc_0338,rvl_train_11862.png,train,,,,"Philip Morris, Inc.",,,,low,0,1.0
doc_0397,rvl_train_00639.png,train,,,,a Perera,,,,low,0,1.0
doc_0221,rvl_val_07165.png,train,,,,RJ. Reynolds Tobacco Company,,,,low,0,1.0
doc_0208,rvl_train_04573.png,train,,,,RIJKSDIENST VOOR SOCIALE ZEKERHEID,,,,low,0,1.0
doc_0317,rvl_train_23525.png,train,,,,THE TOBACCO INSTITUTE,,,,low,-1,1.0
doc_0398,rvl_train_16011.png,train,,,,,,,,low,0,1.0
doc_0394,rvl_train_00019.png,train,,,,,,,,low,0,1.0
doc_0375,rvl_train_23662.png,train,,,,UNIVERSITY OF CAMBRIDGE SCHOOL OF CLINICAL MEDICINE,,,,low,0,1.0
doc_0269,rvl_train_01502.png,train,,,,eg*eze'T STVLOL,,,,low,0,1.0
doc_0315,rvl_train_06914.png,train,,1991-09-24,,"Structural Display, Inc, esses wormeos wy sos",Philip Morris USA,,,medium,1,1.0
doc_0207,rvl_test_07315.png,train,,,,"CRC. cowtancr, RESEARCH CENTER (BVBA/SP.AL>",,,,low,0,1.0
doc_0391,rvl_train_24986.png,train,3021-2136,,,,120 Park Avenue,,NET 30 days,high,2,1.0
doc_0345,rvl_train_24766.png,train,,,,"TRIANGLE PUBLICATIONS, INC. TEAMS.",,,,medium,1,1.0
doc_0367,rvl_train_21004.png,train,,1972-06-28,,R.J.Reynolds Tobacco Company,,,,medium,1,1.0
doc_0222,rvl_train_19727.png,train,,,,"EWS, To0 ~ LOEWS HOTELS 700 = LORILLARD",,,,low,0,0.85
doc_0395,rvl_train_17379.png,train,,1985-06-12,,To: Vlorittard Research Center 7,,2250.00,Net 30 days,high,3,1.0
doc_0272,rvl_train_07468.png,train,,,,DAWSON RESEARCH CORPORATION,,,Net 30,low,0,1.0
doc_0387,rvl_test_03487.png,train,,,,Lorillard Média Service ‘reat,,,,low,0,1.0
doc_0280,rvl_val_12456.png,train,,,,"Laurence, Craelegs. Feces M2) » Inc. |",,,,low,0,1.0
doc_0365,rvl_train_03754.png,train,,,,,,,,low,0,1.0
doc_0212,rvl_train_22175.png,train,,,,payee; Management Science Assoc. Inc. EXPLANATIONOF PAYMENT. Sales & Informat,,,,low,0,1.0
doc_0236,rvl_train_00213.png,train,,,,SEAS ASTRA,,,,low,0,0.5
doc_0234,rvl_train_19310.png,val,,,,,,,,low,0,1.0
doc_0257,rvl_train_17572.png,val,,,,CRC Contract F Research Center wisnsry SPRL,,,,low,0,1.0
doc_0200,rvl_train_20953.png,val,,1989-10-15,,aan 800 SECOND AVENUE,,,,medium,1,1.0
doc_0346,rvl_train_01544.png,val,,,,TAN ToBaceo coMPANY NTS INTL,TAN ToBaceo coMPANY NTS INTL,,,low,0,1.0
doc_0271,rvl_train_21669.png,val,,1996-02-01,,Brian R. Meara Public Relations Inc.,,,,medium,1,1.0
doc_0216,rvl_train_13826.png,val,,,,Aangavraage gob,,,,low,0,1.0
doc_0302,rvl_train_08846.png,val,9109161,1991-10-31,,ns Tre,,,,high,2,1.0
doc_0278,rvl_val_09109.png,val,,,,Danzas AE GmbH,,,,low,0,1.0
doc_0370,rvl_train_11147.png,val,,,,ies sts BOS Ean 1.532 co,,,,low,0,1.0
doc_0324,rvl_train_04682.png,val,,,,3 10T ee7OL,,,,low,0,1.0
doc_0210,rvl_train_24133.png,val,,,,CRC CONTRACT RESEARCH CENTER BV.BASP.R.L:,,,,low,0,1.0
doc_0213,rvl_train_17871.png,val,,1986-01-28,,T torittard Research center 1,,2250.00,Net 90 days,high,3,1.0
doc_0230,rvl_train_21296.png,val,,,,eveusra : oo,,,,low,0,1.0
doc_0235,rvl_train_09116.png,val,,,,HAZLETON Lsonatonies AMERICA. INC,,,Net 30 days,high,2,1.0
doc_0396,rvl_train_10622.png,val,,,,RICHMOND. VIRGINIA ”,,,,low,0,1.0
doc_0372,rvl_test_14247.png,val,,,,Associates For Research On Indoor Air,,,,low,0,1.0
doc_0328,rvl_train_08082.png,val,,,,yancorwa PHILIP MORRIS INCORPORATED an,,439723675.00,,low,-1,1.0
doc_0250,rvl_test_03170.png,val,,1973-03-12,,"Adams Letter Co., Inc.",,,,low,0,1.0
doc_0288,rvl_val_22998.png,val,,,,RECEIVED OF PETTY CASH),,,,low,0,1.0
doc_0308,rvl_train_01833.png,val,,,,"245 PARK AVE., NEW YORK, NY.",,,,low,0,0.85
doc_0380,rvl_train_08631.png,val,104264528,,,PROF SERVICES-OVERTIME,,,,medium,1,1.0
doc_0264,rvl_train_11851.png,val,,,,LORILLARD MEDIA SERVICES,,,,high,5,1.0
doc_0249,rvl_train_11271.png,val,,1990-11-04,,Ally & Garganoine. May 1992,,,,low,0,1.0
doc_0260,rvl_train_02583.png,val,,,,"New York,",,,NET 30 DAYS,medium,1,1.0
doc_0303,rvl_val_22550.png,val,,,,"HAZLETON LABORATORIES AMERICA, INC",,,,high,2,1.0
doc_0287,rvl_train_08749.png,val,,,,nigreag mer,,,,low,0,1.0
doc_0331,rvl_train_08610.png,val,,1977-11-10,,D OnTACH HERE @arone OEPosiTiNG,,,,low,0,0.85
doc_0224,rvl_train_16560.png,val,,,,Pegs —ae,,,,low,0,1.0
doc_0342,rvl_train_16172.png,val,,,,es) 7° Jnr,,,,low,0,1.0
doc_0326,rvl_train_15036.png,test,,,,Mew imes Mirror,,,,high,2,1.0
doc_0356,rvl_train_19527.png,test,,,,"120 PENNSYLVANIA AVENUE, N. W.",,,,low,0,1.0
doc_0296,rvl_train_05608.png,test,,,,des| sive,,,,low,0,1.0
doc_0339,rvl_train_07187.png,test,2054,1995-01-24,,CP ARTS Inc,,,,high,2,1.0
doc_0320,rvl_train_21478.png,test,,,,Pot J,,,,low,0,0.5
doc_0322,rvl_train_16359.png,test,,,,,,195079.00,,medium,1,1.0
doc_0254,rvl_val_08668.png,test,,1994-11-29,,PHILIP MORRIS MANAGEMENT CORP.,,1203.35,,low,0,1.0
doc_0301,rvl_val_12434.png,test,,,,mo! ANSE],,,,low,0,1.0
doc_0382,rvl_train_16404.png,test,,1972-06-01,,RESEARCH DEVELOPMENT,,,,low,0,1.0
doc_0390,rvl_train_06518.png,test,,,,YO Lorillard Media Service sovrmeen Lorillard,,27599.60,,low,0,1.0
doc_0295,rvl_test_23893.png,test,,,,vinuoanys ‘oosionvus wus,,,,low,0,1.0
doc_0298,rvl_val_05355.png,test,,1978-08-23,,LEO BURNETT COMPANY + INC,,50.00,,low,0,1.0
doc_0347,rvl_val_05009.png,test,,1993-06-30,,To: Madison Square Garden,,,,medium,1,1.0
doc_0384,rvl_train_09780.png,test,,,,CLASSIFIED MATERIAL RECEIPT,,,,low,0,1.0
doc_0360,rvl_train_18129.png,test,,,,"Ted Bat a. company, inc /adverrising",,,,low,0,1.0
doc_0294,rvl_train_20807.png,test,,1988-03-25,,COMPANY,,,,low,0,1.0
doc_0240,rvl_train_22877.png,test,,,,,,,,low,0,0.85
doc_0358,rvl_train_08239.png,test,1496-4,1983-11-29,,"LABORATORIES, INC.",,,,medium,1,1.0
doc_0349,rvl_train_20561.png,test,,1967-08-03,,WOODARD RESEARCH CORPORATION,,,,low,0,1.0
doc_0376,rvl_val_00107.png,test,,,,Be IMI CRANE,,,,low,0,1.0
doc_0319,rvl_train_10312.png,test,,,,EMPLOVER IDENTIFICATION NO,,,,low,0,1.0
doc_0265,rvl_val_20268.png,test,,,,ZOIOANI ONISLLSAQY annowy ‘sania | sanonn,,,,low,0,0.85
doc_0220,rvl_train_03071.png,test,,,,FOR PROFESSIONAL SERVICES RENDERED,,10250.00,,medium,1,1.0
doc_0292,rvl_train_19961.png,test,61967,1989-06-01,,"PROMOTIONAL MARKETING,INC.",,29600.00,,high,2,1.0
doc_0363,rvl_train_22292.png,test,,,,oz | °,,,,low,0,1.0
doc_0355,rvl_train_12609.png,test,,,,N2 4885,,,Cod,medium,1,1.0
doc_0316,rvl_train_18586.png,test,,,,"BIO-RESEARCH CONSULTANTS, INC.",,,,medium,1,1.0
doc_0329,rvl_train_24412.png,test,,1984-10-23,,Lorillard Research Center,,,Net 30 Days,high,2,1.0
doc_0223,rvl_train_18391.png,test,,,,EXECUTI,,,,low,0,0.85
doc_0291,rvl_train_22399.png,test,,1973-03-01,,"BIO-RESEARCH CONSULTANTS, Inc.",,12.34,,low,0,1.0
